brand,year,km_driven,fuel,transmission,owner,selling_price
Tata,2017,15728,Petrol,Manual,First,398570.0
Hyundai,2016,144523,Petrol,Manual,Second,225933.0
Tata,2013,11990,Diesel,Manual,First,241248.0
Kia,2005,23988,Petrol,Manual,First,88018.0
Kia,2024,176632,Petrol,Manual,Second,410730.0
Honda,2019,27639,Petrol,Manual,Second,412340.0
Kia,2012,117554,Petrol,Manual,First,234150.0
Tata,2017,71626,Petrol,Manual,First,357618.0
Mahindra,2022,45696,Diesel,Manual,First,483193.0
Renault,2006,59575,Petrol,Automatic,Third,35000.0
Hyundai,2024,80544,Petrol,Manual,First,540294.0
Hyundai,2019,96618,Petrol,Manual,First,360715.0
Honda,2010,167874,Diesel,Manual,First,148119.0
Honda,2005,159142,Petrol,Manual,First,59327.0
Hyundai,2007,33327,Petrol,Manual,First,73410.0
Maruti,2006,76641,CNG,Manual,First,75406.0
Mahindra,2022,176723,Diesel,Automatic,First,513772.0
Honda,2017,75640,Diesel,Manual,First,413197.0
Tata,2011,31114,Petrol,Manual,Third,134357.0
Kia,2024,76324,Diesel,Manual,First,549848.0
Hyundai,2008,122864,Petrol,Manual,Second,86202.0
Volkswagen,2014,53628,CNG,Manual,First,266953.0
Hyundai,2017,15498,Diesel,Manual,First,355028.0
Mahindra,2016,95017,Petrol,Manual,Second,298623.0
Volkswagen,2020,87563,Petrol,Manual,First,333481.0
Honda,2011,150838,Diesel,Manual,First,236427.0
Mahindra,2007,61770,CNG,Automatic,First,154137.0
Hyundai,2020,37879,CNG,Manual,First,452635.0
Toyota,2015,7066,CNG,Automatic,Third,278375.0
Mahindra,2009,135064,Petrol,Manual,First,123164.0
Kia,2008,105422,Petrol,Manual,First,198256.0
Mahindra,2008,168606,Diesel,Manual,Second,149123.0
Hyundai,2017,158142,Petrol,Manual,First,391478.0
Honda,2017,135460,Petrol,Manual,First,310099.0
Kia,2017,143401,Petrol,Manual,First,314847.0
Ford,2021,149315,Petrol,Automatic,First,451193.0
Tata,2017,108966,Diesel,Manual,Second,276856.0
Hyundai,2009,98473,Petrol,Automatic,First,167865.0
Tata,2014,138362,Petrol,Manual,Third,110785.0
Toyota,2018,106897,Petrol,Manual,Second,318307.0
Hyundai,2007,104877,Petrol,Manual,Second,35000.0
Toyota,2011,117096,Diesel,Manual,First,230531.0
Hyundai,2007,177438,Diesel,Manual,First,99354.0
Toyota,2019,162132,CNG,Automatic,First,434669.0
Ford,2011,117442,Petrol,Automatic,First,177572.0
Volkswagen,2023,9474,Diesel,Manual,First,536337.0
Mahindra,2021,42724,Diesel,Manual,First,478262.0
Toyota,2010,60917,Petrol,Manual,First,342092.0
Toyota,2006,83480,CNG,Automatic,Second,76112.0
Kia,2005,6997,Petrol,Manual,First,108297.0
Honda,2009,43841,Diesel,Automatic,Second,219525.0
Honda,2007,167731,Petrol,Manual,Second,35000.0
Hyundai,2012,173801,Petrol,Manual,First,202847.0
Kia,2014,169220,Petrol,Automatic,Second,251355.0
Mahindra,2006,123303,Diesel,Manual,Third,35000.0
Honda,2011,124186,Diesel,Manual,First,230094.0
Volkswagen,2008,32911,Petrol,Manual,First,159768.0
Toyota,2018,145433,Petrol,Manual,First,393838.0
Ford,2010,27553,CNG,Manual,Second,102668.0
Maruti,2018,126125,Diesel,Automatic,Second,350608.0
Maruti,2006,140958,Petrol,Manual,Third,35000.0
Renault,2012,52468,Diesel,Automatic,Second,243577.0
Toyota,2010,37163,Diesel,Manual,First,271783.0
Toyota,2005,89498,Petrol,Manual,Second,112237.0
Hyundai,2020,176890,Petrol,Manual,First,370118.0
Maruti,2024,45548,Petrol,Manual,First,567921.0
Hyundai,2018,122597,CNG,Manual,First,390110.0
Toyota,2019,134171,Petrol,Manual,Third,362678.0
Renault,2021,91014,Petrol,Manual,Second,392159.0
Hyundai,2008,30236,Petrol,Manual,First,123480.0
Honda,2014,127486,Petrol,Manual,First,293697.0
Kia,2017,104544,Diesel,Automatic,Second,380486.0
Renault,2015,167441,Petrol,Manual,First,202046.0
Toyota,2013,114705,Diesel,Automatic,First,346671.0
Honda,2022,135882,Petrol,Manual,First,487549.0
Renault,2012,99358,Diesel,Manual,First,220672.0
Tata,2024,123505,Diesel,Manual,First,604990.0
Mahindra,2008,28090,Petrol,Manual,First,172145.0
Honda,2009,54851,Petrol,Automatic,First,184760.0
Honda,2012,142671,Petrol,Manual,First,266529.0
Toyota,2017,158899,CNG,Manual,First,419101.0
Maruti,2014,123085,Diesel,Manual,First,296385.0
Maruti,2008,12520,Diesel,Manual,First,120322.0
Honda,2006,16173,Petrol,Automatic,Third,47772.0
Toyota,2023,172944,Diesel,Manual,Second,491579.0
Tata,2016,36427,Petrol,Manual,First,315344.0
Maruti,2014,10881,Petrol,Manual,Second,245365.0
Tata,2010,28924,Petrol,Manual,First,139652.0
Mahindra,2019,106329,Petrol,Automatic,Second,306822.0
Tata,2014,155819,Petrol,Automatic,First,256942.0
Maruti,2022,179896,Petrol,Manual,First,483279.0
Maruti,2019,61117,CNG,Automatic,First,452849.0
Tata,2013,56081,Diesel,Manual,First,278138.0
Maruti,2006,62183,Petrol,Manual,Second,35000.0
Kia,2009,153202,Diesel,Manual,First,220790.0
Honda,2013,89517,Petrol,Manual,First,242675.0
Mahindra,2011,96816,Petrol,Manual,First,185853.0
Hyundai,2022,70471,Petrol,Manual,Second,401802.0
Renault,2007,108184,Petrol,Manual,First,35000.0
Toyota,2020,9093,Petrol,Manual,First,578117.0
Hyundai,2016,123639,Petrol,Manual,First,266875.0
Toyota,2018,26964,Petrol,Manual,Second,428079.0
Maruti,2012,82182,Petrol,Automatic,First,237569.0
Tata,2022,132008,Petrol,Automatic,First,491637.0
Hyundai,2005,55180,CNG,Manual,First,37029.0
Mahindra,2022,173935,CNG,Manual,First,447179.0
Honda,2012,127260,Petrol,Automatic,Third,187363.0
Hyundai,2024,132695,Diesel,Manual,First,555391.0
Tata,2013,96599,Diesel,Automatic,First,274753.0
Mahindra,2023,158201,Petrol,Manual,First,461528.0
Tata,2015,14516,Petrol,Manual,Second,292099.0
Renault,2010,16328,Diesel,Manual,Second,153757.0
Toyota,2011,31983,Petrol,Automatic,Third,245664.0
Mahindra,2015,132271,Diesel,Automatic,First,369768.0
Kia,2008,103339,Petrol,Manual,First,166474.0
Hyundai,2011,138280,Petrol,Manual,Second,134840.0
Ford,2005,123837,Petrol,Automatic,Second,35000.0
Maruti,2020,116983,Petrol,Automatic,Second,341790.0
Maruti,2008,162903,Diesel,Manual,Second,72299.0
Honda,2005,72633,Diesel,Automatic,First,106878.0
Volkswagen,2014,59313,Petrol,Manual,First,298058.0
Mahindra,2024,70632,Petrol,Automatic,Second,510362.0
Honda,2010,103751,Diesel,Automatic,First,259638.0
Volkswagen,2013,39838,Diesel,Automatic,First,295840.0
Mahindra,2024,154793,Petrol,Automatic,Second,471760.0
Toyota,2017,64500,Diesel,Manual,First,447640.0
Kia,2017,117852,Diesel,Manual,Second,358616.0
Honda,2019,86218,CNG,Manual,Third,372532.0
Renault,2013,165809,Diesel,Manual,First,217447.0
Mahindra,2020,97381,Diesel,Manual,First,441077.0
Ford,2024,80656,Petrol,Automatic,First,489350.0
Maruti,2007,176302,Petrol,Manual,Second,51826.0
Volkswagen,2017,44951,Petrol,Manual,Second,335643.0
Renault,2016,99579,Petrol,Manual,First,304336.0
Hyundai,2024,179588,Diesel,Automatic,First,472446.0
Mahindra,2007,30850,Petrol,Automatic,First,167504.0
Tata,2015,113970,Diesel,Manual,Second,284657.0
Kia,2015,56329,Diesel,Automatic,First,405627.0
Hyundai,2009,58685,Petrol,Manual,First,157350.0
Toyota,2020,109670,Diesel,Manual,Second,497682.0
Ford,2005,139004,Petrol,Automatic,Second,35000.0
Toyota,2020,178646,Petrol,Automatic,First,499939.0
Honda,2006,62412,Petrol,Manual,Third,35000.0
Tata,2021,46762,Petrol,Manual,First,467025.0
Volkswagen,2013,168721,Petrol,Manual,First,272897.0
Ford,2005,67454,Petrol,Manual,Second,48056.0
Tata,2016,126543,Petrol,Manual,Third,236320.0
Honda,2012,47952,Petrol,Automatic,Second,247975.0
Honda,2020,159903,Diesel,Manual,First,475544.0
Mahindra,2018,95453,Petrol,Manual,First,407638.0
Honda,2006,42912,Petrol,Manual,First,140610.0
Hyundai,2021,120186,Petrol,Automatic,First,447595.0
Tata,2010,48236,Petrol,Manual,First,209345.0
Toyota,2022,138354,Petrol,Manual,First,522151.0
Honda,2015,15025,CNG,Automatic,Second,271378.0
Tata,2009,48751,Petrol,Manual,First,166215.0
Renault,2022,67988,Petrol,Manual,Second,394508.0
Toyota,2017,70321,Diesel,Manual,First,532743.0
Kia,2005,34925,Petrol,Manual,First,193447.0
Kia,2013,69802,Diesel,Manual,First,251991.0
Volkswagen,2017,21145,Diesel,Manual,First,360953.0
Maruti,2015,89600,Petrol,Automatic,First,339490.0
Mahindra,2024,124753,Petrol,Manual,Second,439114.0
Volkswagen,2006,159324,Diesel,Automatic,Third,35000.0
Renault,2022,154131,Diesel,Automatic,Third,333830.0
Ford,2021,33970,Petrol,Automatic,First,497903.0
Renault,2020,144887,Petrol,Manual,Second,300977.0
Kia,2024,42069,Diesel,Manual,First,630397.0
Tata,2009,49628,Diesel,Manual,First,196934.0
Renault,2019,9746,Petrol,Manual,Second,343032.0
Volkswagen,2022,158369,Petrol,Manual,First,381954.0
Volkswagen,2011,32671,Petrol,Manual,First,230621.0
Honda,2005,167373,CNG,Manual,First,35000.0
Maruti,2008,145563,Diesel,Manual,First,145074.0
Ford,2010,115363,CNG,Manual,Second,113046.0
Tata,2023,67183,Diesel,Manual,Second,392645.0
Tata,2018,19870,CNG,Manual,First,343470.0
Kia,2021,39106,Petrol,Manual,Second,419144.0
Maruti,2018,61834,Petrol,Manual,Second,317474.0
Volkswagen,2005,91030,Petrol,Manual,First,35000.0
Mahindra,2006,59667,Petrol,Manual,Second,51524.0
Kia,2008,112948,Diesel,Manual,First,224401.0
Volkswagen,2009,15779,Petrol,Manual,First,195498.0
Renault,2013,145069,Diesel,Manual,First,203497.0
Toyota,2015,131513,Petrol,Manual,Third,203122.0
Tata,2015,112418,Diesel,Manual,First,330526.0
Volkswagen,2006,81974,Petrol,Automatic,First,122291.0
Ford,2018,155879,Diesel,Manual,Third,240160.0
Ford,2012,133155,Petrol,Manual,First,195997.0
Toyota,2019,169127,Petrol,Manual,First,457494.0
Ford,2007,81568,Petrol,Manual,First,101011.0
Toyota,2019,6409,CNG,Manual,First,491458.0
Ford,2008,113519,Petrol,Manual,First,159545.0
Kia,2014,106783,Petrol,Manual,Third,189579.0
Toyota,2021,78252,CNG,Manual,First,512966.0
Kia,2019,106176,Diesel,Automatic,First,448855.0
Tata,2021,121080,Petrol,Automatic,Second,364143.0
Tata,2015,11670,Petrol,Manual,First,300595.0
Honda,2020,128352,Petrol,Manual,Second,381729.0
Mahindra,2015,97308,Diesel,Manual,First,361981.0
Mahindra,2010,72615,Petrol,Manual,First,194849.0
Tata,2012,140284,Petrol,Automatic,First,209885.0
Toyota,2006,41286,Petrol,Automatic,First,177635.0
Mahindra,2016,119117,Diesel,Manual,First,400649.0
Tata,2006,51121,Diesel,Manual,First,74260.0
Hyundai,2011,167282,Petrol,Manual,First,183673.0
Volkswagen,2011,41708,Diesel,Manual,First,188140.0
Kia,2006,115546,Diesel,Manual,First,88786.0
Ford,2007,170710,Petrol,Manual,First,35000.0
Honda,2007,178304,Petrol,Manual,First,86810.0
Maruti,2008,80615,CNG,Manual,First,175435.0
Maruti,2007,106226,Petrol,Manual,First,59670.0
Toyota,2024,119067,Petrol,Manual,First,496007.0
Maruti,2006,43197,Petrol,Manual,Third,57858.0
Mahindra,2022,176433,Petrol,Manual,First,433454.0
Maruti,2013,122001,Petrol,Manual,First,196539.0
Kia,2010,67495,Petrol,Manual,First,140109.0
Hyundai,2022,144555,Petrol,Manual,First,465573.0
Mahindra,2008,167709,Diesel,Manual,First,159426.0
Maruti,2005,173605,Diesel,Manual,First,35000.0
Volkswagen,2013,162914,CNG,Manual,Second,216858.0
Kia,2020,118337,Petrol,Manual,Second,386480.0
Maruti,2021,26703,Petrol,Automatic,First,519232.0
Tata,2012,161674,Diesel,Manual,Third,199699.0
Ford,2015,50464,Petrol,Manual,Second,212256.0
Ford,2009,36655,Petrol,Manual,Second,146179.0
Toyota,2008,56281,Petrol,Automatic,Third,100436.0
Hyundai,2024,136760,Diesel,Manual,Second,485448.0
Renault,2019,126662,Petrol,Manual,Second,331520.0
Hyundai,2023,179909,Petrol,Manual,Second,371558.0
Kia,2006,32342,Petrol,Manual,Second,56868.0
Mahindra,2014,86891,CNG,Manual,First,299261.0
Tata,2018,36173,Diesel,Automatic,First,422287.0
Toyota,2007,40053,Diesel,Manual,Second,159420.0
Mahindra,2013,56632,Diesel,Manual,Second,247854.0
Volkswagen,2018,173363,Diesel,Automatic,First,427329.0
Renault,2017,149854,Petrol,Automatic,First,265566.0
Renault,2020,66988,Petrol,Manual,Third,320779.0
Tata,2016,160231,CNG,Manual,First,308549.0
Volkswagen,2012,103036,CNG,Automatic,Second,163767.0
Hyundai,2007,94307,Petrol,Manual,Second,35000.0
Volkswagen,2015,35120,Petrol,Manual,First,310897.0
Tata,2015,88022,Petrol,Manual,First,299984.0
Honda,2010,177487,Petrol,Manual,First,193810.0
Tata,2006,6106,Petrol,Manual,First,103396.0
Honda,2023,116690,Diesel,Manual,Second,402124.0
Kia,2019,8396,Petrol,Manual,Third,329451.0
Kia,2013,57659,Petrol,Automatic,First,350318.0
Kia,2016,177524,Diesel,Automatic,First,336553.0
Tata,2018,65748,CNG,Automatic,First,386117.0
Kia,2008,17181,Petrol,Automatic,First,233122.0
Honda,2014,162820,Petrol,Manual,Second,201663.0
Ford,2022,22913,Diesel,Manual,First,532075.0
Volkswagen,2009,165240,Petrol,Manual,First,142272.0
Honda,2020,127372,Petrol,Manual,First,403566.0
Ford,2012,19455,Petrol,Automatic,Second,220914.0
Volkswagen,2011,7466,Petrol,Manual,Second,212212.0
Hyundai,2011,160406,Diesel,Manual,Third,86351.0
Toyota,2014,133155,Petrol,Manual,First,454282.0
Ford,2020,114565,Diesel,Automatic,First,424640.0
Tata,2015,130651,Diesel,Manual,First,306354.0
Toyota,2010,53031,Petrol,Manual,First,309867.0
Renault,2018,17363,Petrol,Automatic,First,332352.0
Renault,2005,132549,Petrol,Automatic,Second,35000.0
Tata,2011,79010,Diesel,Automatic,Third,105822.0
Renault,2021,27307,Diesel,Manual,First,462044.0
Renault,2023,154928,Diesel,Manual,First,539877.0
Hyundai,2010,141770,Diesel,Manual,Second,114169.0
Kia,2016,178998,Petrol,Manual,First,371434.0
Renault,2017,95630,Petrol,Manual,First,323539.0
Renault,2010,125410,Diesel,Automatic,First,163863.0
Hyundai,2014,40501,Diesel,Manual,Third,219236.0
Renault,2005,96062,Petrol,Automatic,First,90554.0
Kia,2020,82656,Diesel,Automatic,First,548354.0
Maruti,2023,101395,Petrol,Manual,First,493457.0
Volkswagen,2017,8126,Diesel,Automatic,First,428062.0
Renault,2011,16833,Diesel,Manual,First,221527.0
Mahindra,2014,144274,Diesel,Manual,First,240591.0
Mahindra,2006,46001,CNG,Automatic,Second,79817.0
Renault,2019,82661,Petrol,Manual,Second,304379.0
Honda,2014,161184,CNG,Manual,First,313536.0
Honda,2018,129299,Petrol,Manual,Third,269287.0
Volkswagen,2012,88183,Petrol,Manual,First,260310.0
Mahindra,2016,76075,Petrol,Manual,First,394200.0
Volkswagen,2019,39167,Petrol,Manual,First,369920.0
Tata,2022,42978,Diesel,Automatic,First,492885.0
Hyundai,2021,131024,Petrol,Automatic,First,434607.0
Toyota,2016,13572,Petrol,Manual,Second,390445.0
Ford,2021,141202,Diesel,Manual,First,457180.0
Mahindra,2020,163423,CNG,Manual,Second,361791.0
Ford,2014,69974,Diesel,Manual,First,275129.0
Maruti,2006,169234,Petrol,Manual,First,35000.0
Honda,2015,112378,Diesel,Manual,First,338115.0
Honda,2009,29944,Petrol,Manual,Second,171312.0
Volkswagen,2007,70100,Diesel,Automatic,First,163775.0
Toyota,2016,65650,Petrol,Manual,Second,349246.0
Kia,2016,24186,Petrol,Manual,First,388807.0
Renault,2014,27909,CNG,Manual,Second,210082.0
Ford,2009,63497,Diesel,Manual,Second,140219.0
Tata,2007,119368,Petrol,Automatic,First,114667.0
Toyota,2016,33968,CNG,Manual,Second,361859.0
Ford,2018,8355,Petrol,Manual,Second,284556.0
Ford,2022,46621,CNG,Manual,Second,391546.0
Honda,2021,129664,Diesel,Manual,Second,403287.0
Volkswagen,2020,55467,Petrol,Automatic,Third,401147.0
Honda,2015,6056,Petrol,Manual,First,307396.0
Tata,2006,139847,Petrol,Manual,First,52552.0
Toyota,2005,85307,Petrol,Manual,Second,132153.0
Volkswagen,2020,108072,Diesel,Manual,First,420687.0
Tata,2015,118075,Petrol,Automatic,First,338476.0
Kia,2015,77414,Diesel,Automatic,First,323467.0
Ford,2020,174176,Petrol,Manual,Second,270596.0
Renault,2017,119445,Petrol,Manual,Second,273006.0
Toyota,2014,22512,Petrol,Manual,Third,224878.0
Mahindra,2007,67215,CNG,Manual,Second,75037.0
Maruti,2010,43357,Diesel,Manual,Second,161361.0
Renault,2008,135568,Diesel,Manual,Second,145040.0
Honda,2020,179562,Petrol,Automatic,First,443899.0
Honda,2024,137129,Diesel,Manual,First,541698.0
Hyundai,2005,149561,Petrol,Automatic,First,35000.0
Renault,2023,18837,Petrol,Manual,Second,417890.0
Kia,2014,135337,Diesel,Automatic,First,345779.0
Hyundai,2006,117657,Petrol,Manual,Second,46317.0
Honda,2022,75629,CNG,Manual,First,459855.0
Tata,2005,74540,CNG,Automatic,Second,35000.0
Toyota,2017,135494,Diesel,Manual,First,400105.0
Tata,2008,156224,Diesel,Manual,First,107825.0
Hyundai,2011,106889,Petrol,Manual,First,233207.0
Volkswagen,2017,169256,Diesel,Manual,Second,316325.0
Toyota,2017,157241,Petrol,Manual,First,434057.0
Mahindra,2017,62043,Diesel,Manual,First,409947.0
Hyundai,2010,35051,Petrol,Manual,First,211605.0
Toyota,2013,11817,CNG,Automatic,First,375750.0
Tata,2010,153534,Diesel,Automatic,First,89579.0
Tata,2020,157266,Petrol,Manual,First,360579.0
Kia,2022,148799,Petrol,Manual,First,496568.0
Kia,2017,146907,Diesel,Manual,First,355297.0
Maruti,2011,178712,Petrol,Manual,First,59256.0
Volkswagen,2013,28167,Diesel,Automatic,First,297396.0
Volkswagen,2006,64436,CNG,Manual,First,98699.0
Volkswagen,2013,154900,Petrol,Manual,Second,204065.0
Toyota,2019,80217,Diesel,Manual,First,479998.0
Tata,2022,140752,Petrol,Manual,First,431662.0
Honda,2024,152461,Petrol,Manual,First,543712.0
Tata,2010,112081,Diesel,Manual,First,205125.0
Mahindra,2023,15124,Petrol,Manual,First,523798.0
Volkswagen,2024,112177,Petrol,Automatic,First,587788.0
Tata,2006,140455,Petrol,Automatic,First,35000.0
Toyota,2022,164127,Diesel,Manual,First,537840.0
Honda,2019,108040,Petrol,Automatic,First,456975.0
Mahindra,2009,11375,Diesel,Automatic,First,179137.0
Mahindra,2013,48471,Petrol,Manual,Third,154974.0
Ford,2014,77646,Petrol,Automatic,First,267673.0
Kia,2024,89209,Petrol,Manual,First,539184.0
Volkswagen,2006,104687,Diesel,Manual,First,87566.0
Tata,2009,7938,Petrol,Manual,First,111663.0
Volkswagen,2020,53241,Petrol,Automatic,Second,441614.0
Kia,2018,74615,Diesel,Manual,Second,379542.0
Tata,2007,124796,Petrol,Manual,Third,35000.0
Hyundai,2014,45806,Petrol,Manual,Second,249874.0
Hyundai,2016,81449,Petrol,Manual,Second,230422.0
Tata,2009,18918,Diesel,Manual,First,194232.0
Renault,2009,124169,CNG,Manual,First,149035.0
Mahindra,2015,131244,Petrol,Manual,Second,252394.0
Toyota,2014,121358,Petrol,Manual,First,356476.0
Volkswagen,2019,152282,CNG,Manual,First,346846.0
Hyundai,2017,134525,Diesel,Manual,First,258856.0
Hyundai,2011,148875,Diesel,Manual,First,245892.0
Maruti,2010,74097,Petrol,Manual,First,166077.0
Honda,2011,11083,Diesel,Automatic,First,261113.0
Mahindra,2007,171175,Diesel,Manual,First,99556.0
Renault,2014,26659,Petrol,Automatic,Second,192410.0
Toyota,2016,56340,Petrol,Manual,First,355939.0
Ford,2009,96211,Diesel,Manual,First,110668.0
Toyota,2016,124075,Petrol,Manual,First,426495.0
Toyota,2012,67210,Diesel,Automatic,First,400523.0
Ford,2021,73921,Petrol,Manual,First,412049.0
Ford,2024,123829,Petrol,Manual,First,477480.0
Volkswagen,2019,143669,Petrol,Manual,Second,270541.0
Mahindra,2014,178191,Diesel,Manual,Second,163582.0
Honda,2020,26101,Petrol,Automatic,First,491905.0
Volkswagen,2014,70330,Diesel,Automatic,First,312379.0
Mahindra,2019,53258,Petrol,Manual,First,478152.0
Volkswagen,2022,61153,Petrol,Automatic,Second,427897.0
Tata,2010,48909,Petrol,Manual,Second,129194.0
Hyundai,2017,97311,Diesel,Manual,First,418301.0
Mahindra,2023,98013,Diesel,Automatic,Second,528570.0
Honda,2021,106523,Diesel,Manual,Third,356507.0
Tata,2023,46419,Petrol,Manual,Second,461272.0
Hyundai,2022,127754,Petrol,Manual,First,455606.0
Maruti,2005,69828,Petrol,Manual,Second,35000.0
Toyota,2011,34544,Diesel,Manual,First,355357.0
Volkswagen,2015,41448,CNG,Automatic,First,345572.0
Hyundai,2021,144953,Petrol,Manual,Second,351135.0
Honda,2009,165894,Petrol,Automatic,Second,78601.0
Mahindra,2007,120775,Petrol,Manual,First,119596.0
Toyota,2016,112665,Diesel,Automatic,First,416204.0
Tata,2009,119402,Diesel,Manual,Second,101776.0
Ford,2009,46115,Petrol,Automatic,First,129324.0
Mahindra,2015,154953,Petrol,Manual,First,264816.0
Mahindra,2012,151988,Diesel,Manual,First,272785.0
Toyota,2022,80115,Diesel,Manual,First,535224.0
Volkswagen,2006,13124,Diesel,Manual,Second,35000.0
Renault,2015,103301,Diesel,Manual,First,310922.0
Tata,2016,74641,CNG,Manual,Second,281417.0
Kia,2009,116994,Petrol,Manual,First,239162.0
Mahindra,2015,147943,Petrol,Manual,First,307147.0
Hyundai,2010,102754,Petrol,Manual,First,150627.0
Kia,2010,94767,Petrol,Manual,First,239222.0
Toyota,2017,77271,Petrol,Manual,Third,367582.0
Tata,2012,90395,Petrol,Manual,First,190856.0
Tata,2007,81005,Petrol,Automatic,First,119483.0
Volkswagen,2024,77854,Petrol,Manual,Second,416614.0
Toyota,2023,83913,CNG,Manual,Second,525334.0
Kia,2017,149886,Diesel,Manual,First,320133.0
Renault,2022,135044,Petrol,Manual,First,429433.0
Toyota,2018,151419,Diesel,Automatic,Third,342840.0
Kia,2008,9334,Diesel,Automatic,First,228754.0
Mahindra,2018,113960,Petrol,Manual,First,373745.0
Tata,2011,117813,Petrol,Automatic,Third,114871.0
Ford,2023,35657,Petrol,Automatic,First,510895.0
Maruti,2009,45985,Petrol,Automatic,Second,165204.0
Volkswagen,2016,60819,Petrol,Automatic,Second,205692.0
Renault,2023,107116,Petrol,Manual,First,493388.0
Hyundai,2018,43033,Petrol,Manual,First,413186.0
Toyota,2006,18667,CNG,Automatic,First,167176.0
Toyota,2017,118548,Petrol,Automatic,First,392738.0
Volkswagen,2019,117180,Diesel,Automatic,First,421690.0
Honda,2022,13486,Petrol,Manual,First,500041.0
Toyota,2008,101566,Petrol,Manual,First,165325.0
Volkswagen,2011,8964,Diesel,Manual,First,217437.0
Hyundai,2015,135094,Diesel,Automatic,Third,220063.0
Volkswagen,2010,65288,Petrol,Manual,First,155114.0
Tata,2020,57083,Petrol,Manual,First,441593.0
Volkswagen,2008,17768,Petrol,Manual,Third,61978.0
Tata,2006,60980,Petrol,Manual,First,70640.0
Tata,2006,26467,Diesel,Manual,First,166748.0
Tata,2007,144871,Petrol,Manual,First,107792.0
Maruti,2024,145043,Petrol,Manual,Second,444956.0
Hyundai,2023,132317,Petrol,Manual,First,472664.0
Hyundai,2024,56322,Petrol,Manual,Second,480076.0
Honda,2011,77963,Petrol,Automatic,First,256272.0
Maruti,2012,50171,Diesel,Automatic,First,251062.0
Tata,2021,149445,Petrol,Manual,First,427588.0
Renault,2022,159991,Petrol,Manual,Second,370747.0
Tata,2012,29550,CNG,Automatic,Second,263497.0
Kia,2013,71828,Diesel,Manual,First,286360.0
Kia,2020,138174,Petrol,Automatic,First,401977.0
Hyundai,2020,24650,Diesel,Manual,First,423631.0
Tata,2020,115886,Diesel,Manual,Second,357798.0
Ford,2010,178494,Petrol,Manual,First,61954.0
Volkswagen,2009,136801,Petrol,Manual,Second,192092.0
Kia,2024,37188,Petrol,Manual,First,567956.0
Toyota,2010,126406,Petrol,Manual,Second,214507.0
Tata,2020,62425,Diesel,Automatic,First,445337.0
Hyundai,2006,98326,Diesel,Automatic,First,62744.0
Honda,2016,139022,Petrol,Manual,First,342804.0
Ford,2019,63052,Diesel,Automatic,First,388834.0
Ford,2018,12409,Diesel,Manual,First,318824.0
Volkswagen,2022,136491,Diesel,Manual,Second,421035.0
Ford,2015,120107,CNG,Automatic,First,260611.0
Toyota,2018,119034,Diesel,Manual,First,465664.0
Tata,2020,162532,CNG,Manual,Second,366768.0
Toyota,2022,9100,Petrol,Automatic,First,619997.0
Mahindra,2006,118787,Petrol,Automatic,First,145730.0
Honda,2018,40314,Diesel,Automatic,First,395038.0
Ford,2006,141343,Petrol,Manual,Third,35000.0
Toyota,2006,81646,CNG,Manual,First,131514.0
Honda,2011,59631,Diesel,Manual,Second,145312.0
Toyota,2011,114333,Petrol,Manual,Second,169008.0
Volkswagen,2008,33597,Diesel,Manual,Second,83178.0
Hyundai,2009,108874,Diesel,Manual,First,139751.0
Maruti,2014,30856,Petrol,Manual,Second,239653.0
Kia,2012,166432,Diesel,Automatic,Second,262332.0
Maruti,2007,110175,Petrol,Manual,First,140029.0
Maruti,2012,51586,Diesel,Manual,Third,150288.0
Toyota,2006,27603,Diesel,Automatic,Third,127036.0
Renault,2021,47511,Petrol,Manual,First,424556.0
Mahindra,2005,105530,Petrol,Automatic,First,87797.0
Ford,2019,8266,Petrol,Manual,Second,311249.0
Volkswagen,2005,23588,Petrol,Automatic,Second,52468.0
Mahindra,2019,168431,Petrol,Manual,First,330576.0
Kia,2020,41352,Petrol,Manual,First,501468.0
Kia,2018,120301,Petrol,Manual,First,325744.0
Honda,2005,159671,Diesel,Manual,First,146232.0
Toyota,2023,92667,Diesel,Manual,First,645860.0
Kia,2012,48839,Petrol,Manual,First,250530.0
Mahindra,2024,116172,Petrol,Manual,Second,512410.0
Tata,2005,34486,Diesel,Manual,First,60564.0
Tata,2013,20305,Petrol,Manual,Third,156260.0
Tata,2014,38730,Diesel,Manual,First,276237.0
Ford,2007,84005,Petrol,Automatic,First,140267.0
Tata,2019,65049,Petrol,Manual,Second,345358.0
Honda,2021,84324,Diesel,Manual,First,449033.0
Maruti,2018,101185,Diesel,Manual,First,427252.0
Ford,2016,129142,Diesel,Manual,First,260297.0
Ford,2011,66290,Diesel,Automatic,First,198855.0
Ford,2008,65352,Petrol,Automatic,First,76326.0
Kia,2010,35569,Petrol,Manual,First,207993.0
Renault,2023,104521,Petrol,Manual,First,407007.0
Maruti,2021,62048,CNG,Manual,Second,397954.0
Ford,2007,86942,Petrol,Manual,Second,96700.0
Honda,2013,171352,Petrol,Manual,First,269014.0
Volkswagen,2016,112028,Diesel,Manual,First,323248.0
Maruti,2018,165170,Diesel,Manual,First,391506.0
Renault,2013,55681,CNG,Manual,First,238604.0
Mahindra,2014,109641,Diesel,Manual,Second,269386.0
Ford,2013,166870,Diesel,Manual,First,246457.0
Kia,2024,110978,Petrol,Manual,Second,413078.0
